,City,Cloud,Country,Date,Humidity,Pressure,Temperature_max,Wind,lat,lon
101,Hobart,0,AU,1511028000,72,1022.0,16.0,3.6,-42.88,147.33
102,Port Alfred,0,ZA,1511029477,88,1020.04,16.93,2.76,-33.59,26.89
103,Tabou,40,CI,1511024400,83,1008.0,28.0,3.1,4.42,-7.35
104,Kashechewan,80,CA,1511029539,89,1017.69,-2.48,4.56,52.3,-81.62
105,Tigil,88,RU,1511029549,82,1018.42,-5.83,2.51,57.8,158.67
106,Farafangana,92,MG,1511029549,100,1029.68,23.68,6.61,-22.82,47.83
107,Albany,90,US,1511027640,44,1006.0,7.0,6.7,42.65,-73.76
108,Grindavik,75,IS,1511026200,100,1022.0,0.0,2.6,63.84,-22.43
109,Cidreira,88,BR,1511029285,79,1009.18,23.9,4.56,-30.18,-50.21
110,Oyugis,92,KE,1511029551,90,850.87,17.1,2.16,-0.51,34.74
111,Rio de Jesus,48,PA,1511029551,93,1006.91,26.25,1.61,7.98,-81.16
112,Vestmannaeyjar,40,IS,1511028000,79,1021.0,-2.0,5.7,63.44,-20.27
113,Amparihy,75,MG,1511028000,83,1017.0,23.0,1.0,-25.02,46.97
114,Gualeguay,0,AR,1511029552,42,1024.25,20.28,7.61,-33.14,-59.31
115,Carnarvon,0,AU,1511029552,100,1023.85,20.08,5.81,-24.87,113.63
116,Rikitea,48,PF,1511029223,100,1031.47,22.78,8.31,-23.12,-134.97
117,Horki,92,BY,1511029553,100,1003.42,0.7,3.41,54.29,30.98
118,Kawambwa,68,ZM,1511029554,58,905.58,24.3,1.51,-9.79,29.08
119,Qaanaaq,32,GL,1511029477,100,1019.39,-19.45,4.81,77.48,-69.36
120,Fairview,1,US,1511027760,57,1009.0,11.0,3.6,40.81,-74.0
121,Rikitea,48,PF,1511029223,100,1031.47,22.78,8.31,-23.12,-134.97
122,Bluff,0,NZ,1511029539,100,1036.74,10.35,4.46,-46.6,168.33
123,Cape Town,20,ZA,1511028000,82,1016.0,16.0,5.1,-33.93,18.42
124,Salalah,20,OM,1511027400,65,1017.0,27.0,3.6,17.02,54.09
125,Albany,90,US,1511027640,44,1006.0,7.0,6.7,42.65,-73.76
126,Ancud,92,CL,1511029527,100,1023.69,11.4,4.11,-41.87,-73.82
127,Cape Town,20,ZA,1511028000,82,1016.0,16.0,5.1,-33.93,18.42
128,Hakkari,12,TR,1511029556,68,790.07,-5.93,0.86,37.58,44.17
129,Isangel,12,VU,1511029513,100,1021.34,23.1,3.46,-19.55,169.27
130,Albany,90,US,1511027640,44,1006.0,7.0,6.7,42.65,-73.76
131,Amparihy,75,MG,1511028000,83,1017.0,23.0,1.0,-25.02,46.97
132,Naze,8,JP,1511029557,100,1027.9,19.25,9.76,28.37,129.48
133,Riohacha,75,CO,1511028000,94,1008.0,26.0,2.1,11.54,-72.91
134,Porto-Vecchio,0,FR,1511028000,87,1017.0,13.0,1.5,41.59,9.28
135,Punta Arenas,75,CL,1511024400,70,995.0,6.0,15.4,-53.15,-70.92
136,Asau,90,RO,1511028000,93,1014.0,8.0,3.1,46.43,26.4
137,Souillac,40,MU,1511028000,83,1017.0,25.0,2.6,-20.52,57.52
138,Aura,92,FI,1511027400,100,993.0,4.0,2.1,60.62,22.58
139,Vaini,75,TO,1511028000,94,1010.0,26.0,2.1,-21.2,-175.2
140,Riverton,1,US,1511027880,69,1032.0,3.0,4.6,40.52,-111.94
141,Muros,0,ES,1511028000,67,1021.0,14.0,1.5,42.78,-9.06
142,El Trompillo,75,BO,1511028000,78,1006.0,27.0,5.7,-17.8,-63.17
143,Avarua,75,CK,1511028000,78,1015.0,26.0,5.1,-21.21,-159.78
144,Yatou,76,CN,1511029561,99,1036.49,1.95,4.91,37.15,122.38
145,Lorengau,32,PG,1511029562,100,1017.53,28.68,3.11,-2.02,147.27
146,Oranjestad,40,AW,1511028000,74,1007.0,30.0,2.1,12.52,-70.03
147,Sitka,90,US,1511028240,86,1004.0,3.0,3.1,57.05,-135.33
148,Geraldton,90,AU,1511026200,77,1013.0,18.0,2.6,-28.77,114.6
149,Butaritari,0,KI,1511029530,100,1020.2,28.58,0.51,3.07,172.79
150,Cherskiy,92,RU,1511029563,88,1001.96,-10.55,2.41,68.75,161.3
151,Kuching,75,MY,1511028000,100,1009.0,24.0,0.5,1.55,110.33
152,New Norfolk,0,AU,1511028000,72,1022.0,16.0,3.6,-42.78,147.06
153,Gambela,0,ET,1511029565,82,896.34,17.95,0.86,8.25,34.58
154,Ushuaia,75,AR,1511024400,93,989.0,2.0,12.9,-54.8,-68.3
155,Bluff,0,NZ,1511029539,100,1036.74,10.35,4.46,-46.6,168.33
156,Kapaa,1,US,1511027760,93,1013.0,22.0,3.1,22.08,-159.32
157,Port Alfred,0,ZA,1511029477,88,1020.04,16.93,2.76,-33.59,26.89
158,Chuy,64,UY,1511029515,80,1020.44,16.43,10.21,-33.7,-53.46
159,Bandarbeyla,88,SO,1511029271,100,1023.12,26.8,9.66,9.49,50.81
160,Tiksi,64,RU,1511029567,84,1011.85,-12.65,3.46,71.69,128.87
161,Pyt-Yakh,68,RU,1511029567,87,1018.9,-5.9,4.01,60.75,72.86
162,Ushuaia,75,AR,1511024400,93,989.0,2.0,12.9,-54.8,-68.3
163,Bluff,0,NZ,1511029539,100,1036.74,10.35,4.46,-46.6,168.33
164,Khatanga,24,RU,1511029568,60,1033.98,-21.4,5.06,71.97,102.5
165,Kang,0,BW,1511029568,26,900.15,20.3,2.11,-23.68,22.79
166,Rikitea,48,PF,1511029223,100,1031.47,22.78,8.31,-23.12,-134.97
167,Aswan,0,EG,1511024400,42,1011.0,28.0,2.6,24.09,32.91
168,Takoradi,32,GH,1511029480,96,1019.39,27.7,4.36,4.88,-1.76
169,Rikitea,48,PF,1511029223,100,1031.47,22.78,8.31,-23.12,-134.97
170,Tsiombe,8,MG,1511029570,71,1013.72,19.5,2.76,-25.3,45.48
171,Salinas,1,US,1511027700,66,1023.0,13.0,4.6,36.68,-121.66
172,Brae,80,GB,1511027400,75,1007.0,7.0,13.4,60.4,-1.35
173,Doka,0,SD,1511029571,31,954.78,27.03,3.96,13.52,35.77
174,Ojinaga,0,MX,1511029416,20,913.04,23.35,3.11,29.57,-104.42
175,Coxim,76,BR,1511029572,90,979.91,24.53,3.31,-18.51,-54.76
176,Kodiak,1,US,1511027580,100,1014.0,0.0,3.1,57.79,-152.41
177,Barrow,90,US,1511027580,85,1024.0,-12.0,2.6,71.29,-156.79
178,Sept-Iles,75,CA,1511028000,69,1006.0,2.0,4.1,50.2,-66.38
179,Severo-Kurilsk,92,RU,1511029573,100,1013.23,2.85,15.61,50.68,156.12
180,Goderich,92,CA,1511029543,100,979.67,7.9,2.11,43.75,-81.72
181,Ushuaia,75,AR,1511024400,93,989.0,2.0,12.9,-54.8,-68.3
